,Metro station,lon,lat,Number of floors,type,Number of rooms,id,Area,floor,Price
204,Автозаводская,37.6324348838524,55.706694288802,20,monolith,0.0,300160044,32.38,1,16871275.0
205,Автозаводская,37.640373,55.69816,40,monolith,1.0,300027182,40.0,38,23500000.0
206,Автозаводская,37.6351179672961,55.7064860931808,16,monolithBrick,0.0,301269210,33.9,10,16314273.0
207,Автозаводская,37.63252,55.698711,13,monolith,1.0,301028452,42.0,13,20000000.0
208,Автозаводская,37.6324348838524,55.706694288802,20,monolith,4.0,300776233,109.84,18,52020224.0
209,Автозаводская,37.63252,55.698711,13,monolith,1.0,301028449,40.2,13,19500000.0
210,Автозаводская,37.6375816972184,55.6975455575801,28,monolithBrick,0.0,296465042,22.8,26,15032473.0
211,Автозаводская,37.679466,55.705818,7,brick,0.0,297935809,24.5,1,7105000.0
212,Автозаводская,37.6322310359675,55.7059794529357,20,monolith,4.0,297989313,86.62,16,34516597.0
213,Автозаводская,37.679466,55.705818,7,brick,0.0,301405300,14.6,1,4500000.0
214,Автозаводская,37.6322846801478,55.70659736274,20,monolith,1.0,300160043,59.34,1,28625616.0
215,Автозаводская,37.6535568174733,55.6872473331401,35,monolith,0.0,300394816,29.3,16,15300000.0
216,Автозаводская,37.693282,55.705133,32,monolith,0.0,301036581,17.2,22,8700000.0
217,Автозаводская,37.6334864423,55.6973372537,16,monolith,1.0,295400535,35.2,5,17900000.0
218,Автозаводская,37.6503724401805,55.71689789117,19,monolith,4.0,300456038,158.77,13,77542368.0
219,Автозаводская,37.648465,55.70285,12,monolith,0.0,295771994,26.5,8,12499999.0
220,Автозаводская,37.640363,55.675712,33,monolith,1.0,300915219,32.4,18,13048905.0
221,Автозаводская,37.66176,55.720388,5,panel,1.0,301269844,31.1,3,10950000.0
222,Автозаводская,37.640363,55.675712,33,monolith,1.0,300915134,34.2,30,13614609.0
223,Автозаводская,37.679466,55.705818,7,brick,1.0,288557638,21.0,1,6089000.0
224,Автозаводская,37.640363,55.675712,33,monolith,1.0,300915151,42.3,10,16244172.0
225,Автозаводская,37.670142,55.714044,30,brick,4.0,301137134,136.9,10,59000000.0
226,Автозаводская,37.6406424621321,55.6990488114914,40,monolithBrick,4.0,293539875,113.9,38,63790720.0
227,Автозаводская,37.670142,55.714044,30,brick,4.0,298340818,113.0,7,49900000.0
228,Автозаводская,37.6351179672961,55.7064860931808,16,monolithBrick,1.0,301268287,52.72,4,20566072.0
229,Автозаводская,37.642653,55.701278,16,monolith,1.0,300242556,40.4,12,17900000.0
230,Автозаводская,37.643551168,55.6874158371,17,monolithBrick,4.0,299226345,115.0,2,47790314.0
231,Автозаводская,37.656128,55.71908,29,monolith,1.0,299548651,46.3,4,18990000.0
232,Автозаводская,37.640174,55.67626,33,monolith,1.0,300915302,36.1,19,14293939.0
233,Автозаводская,37.655903,55.690735,8,monolith,1.0,299002987,34.5,3,20700000.0
234,Автозаводская,37.640174,55.67626,33,monolith,1.0,300915264,42.3,29,16244172.0
235,Автозаводская,37.664662,55.716869,7,brick,4.0,300352085,108.0,6,38000000.0
236,Автозаводская,37.640174,55.67626,33,monolith,1.0,300915365,32.4,33,13426041.0
237,Автозаводская,37.634092,55.698071,16,monolithBrick,1.0,300622420,37.0,7,22330000.0
238,Автозаводская,37.6338664491,55.6984690174,16,monolithBrick,1.0,293736478,41.6,7,20919766.0
239,Автозаводская,37.6390744350522,55.6878777136382,28,monolith,0.0,289909308,32.5,20,15300000.0
240,Автозаводская,37.638638,55.674346,33,monolith,1.0,300915508,34.3,15,12729484.0
241,Автозаводская,37.656955,55.719404,29,monolith,1.0,284708774,39.2,2,20900000.0
242,Автозаводская,37.637946,55.673778,22,monolith,1.0,300914955,34.4,17,13210391.0
243,Автозаводская,37.640373,55.69816,22,monolith,1.0,301131065,42.3,9,23000000.0
244,Автозаводская,37.640174,55.67626,33,monolith,1.0,300915321,34.2,6,13896588.0
245,Автозаводская,37.6671969067,55.6913849488,22,monolith,4.0,291917483,100.8,9,51000000.0
246,Автозаводская,37.638638,55.674346,33,monolith,0.0,300915590,19.9,25,9659221.0
247,Автозаводская,37.654153,55.689725,7,monolith,1.0,279019946,42.0,2,21300000.0
248,Автозаводская,37.6351179672961,55.7064860931808,16,monolithBrick,1.0,301268418,39.51,2,17103681.0
249,Автозаводская,37.640066,55.703773,2,monolith,0.0,300592717,34.0,2,9899000.0
250,Автозаводская,37.637838,55.674636,22,monolith,1.0,300915045,34.5,18,13148398.0
251,Автозаводская,37.679466,55.705818,7,brick,0.0,300210333,28.0,1,7499000.0
252,Автозаводская,37.69780133071731,55.70505256621495,23,monolith,2.0,297558544,34.9,5,10993684.0
253,Автозаводская,37.663548,55.716564,9,brick,2.0,299434812,40.0,8,15700000.0
254,Автозаводская,37.6375816972,55.6975455576,28,monolithBrick,2.0,298279037,58.1,7,24480086.0
255,Автозаводская,37.676349,55.701491,7,brick,2.0,299617369,78.7,7,20990000.0
256,Автозаводская,37.6351179672961,55.7064860931808,16,monolithBrick,2.0,301269098,55.54,2,21287149.0
257,Автозаводская,37.676349,55.701491,7,brick,2.0,301389058,62.5,7,19500000.0
258,Автозаводская,37.6321237476071,55.7064943785236,20,monolith,2.0,297989221,42.44,4,22264024.0
259,Автозаводская,37.65472,55.687777,9,monolith,3.0,299436143,91.0,9,49500000.0
260,Автозаводская,37.69780133071731,55.70505256621495,23,monolith,3.0,296357269,44.9,6,14599661.0
261,Автозаводская,37.631101,55.699558,14,monolith,3.0,298372126,124.0,12,115000000.0
262,Автозаводская,37.635107,55.697031,16,monolithBrick,3.0,299971500,81.3,9,37219058.0
263,Автозаводская,37.656128,55.71908,29,monolith,3.0,299924635,76.0,11,43300000.0
264,Автозаводская,37.6351179672961,55.7064860931808,16,monolithBrick,3.0,301268445,69.74,5,26904506.0
265,Автозаводская,37.678694,55.703875,5,brick,3.0,298169367,66.5,2,22000000.0
266,Автозаводская,37.6324348838524,55.706694288802,20,monolith,3.0,297989186,60.49,11,25417898.0
267,Автозаводская,37.635781,55.698031,16,monolith,2.0,297468635,64.3,6,29200000.0
269,Автозаводская,37.640373,55.69816,40,monolith,3.0,296115338,85.0,14,39000000.0
270,Автозаводская,37.6672398220896,55.6906546805921,24,monolith,2.0,301327320,73.7,19,39206609.0
271,Автозаводская,37.653074,55.689004,5,monolith,3.0,300741488,68.0,2,29950000.0
272,Автозаводская,37.6671969067454,55.6913849487772,24,monolith,2.0,301327279,73.6,13,35653633.0
273,Автозаводская,37.640373,55.69816,21,monolithBrick,2.0,301234124,54.4,18,29000000.0
274,Автозаводская,37.6681785952449,55.6907455861438,6,monolith,3.0,301143603,101.2,3,51262046.0
275,Автозаводская,37.635386,55.697052,16,monolith,2.0,301065652,67.6,6,45000000.0
276,Автозаводская,37.6671969067454,55.6913849487772,24,monolith,3.0,301281463,111.2,13,53539575.0
277,Автозаводская,37.640399,55.698934,40,monolithBrick,3.0,293569046,60.0,31,30500000.0
278,Автозаводская,37.6306057498914,55.69904897852,15,monolithBrick,3.0,293736509,109.9,7,55871401.0
279,Автозаводская,37.670753,55.703231,8,brick,2.0,300478282,40.9,3,14300000.0
280,Автозаводская,37.6406424621,55.6990488115,40,monolithBrick,2.0,293203941,60.5,24,28698356.0
281,Автозаводская,37.663943,55.703464,7,panel,2.0,300601422,59.0,4,17900000.0
282,Автозаводская,37.6307543822,55.6977287548,15,monolithBrick,3.0,293204084,83.2,10,45378028.0
283,Автозаводская,37.658643,55.708475,9,brick,2.0,301310364,50.5,3,22300000.0
284,Автозаводская,37.6351179672961,55.7064860931808,16,monolithBrick,2.0,301268565,66.15,10,31709597.0
285,Автозаводская,37.638458,55.698767,20,monolith,2.0,301358611,45.4,16,22990000.0
286,Автозаводская,37.6351179672961,55.7064860931808,16,monolithBrick,3.0,301268299,103.66,6,44027719.0
